year,name,n
1984,NA,0
1984,Female,1
1984,Male,4
1985,NA,0
1985,Female,2
1985,Male,3
1986,NA,0
1986,Female,1
1986,Male,5
1987,NA,0
1987,Female,1
1987,Male,4
1988,NA,0
1988,Female,1
1988,Male,5
1989,NA,0
1989,Female,4
1989,Male,6
1990,NA,0
1990,Female,3
1990,Male,4
1991,NA,1
1991,Female,3
1991,Male,5
1992,NA,0
1992,Female,4
1992,Male,5
1993,NA,0
1993,Female,3
1993,Male,5
1994,NA,0
1994,Female,3
1994,Male,5
1995,NA,0
1995,Female,4
1995,Male,4
1996,NA,0
1996,Female,3
1996,Male,6
1997,NA,0
1997,Female,3
1997,Male,6
1998,NA,0
1998,Female,4
1998,Male,7
1999,NA,0
1999,Female,5
1999,Male,7
2000,NA,0
2000,Female,4
2000,Male,6
2001,NA,0
2001,Female,5
2001,Male,5
2002,NA,0
2002,Female,2
2002,Male,3
2003,NA,0
2003,Female,3
2003,Male,6
2004,NA,0
2004,Female,2
2004,Male,6